b	不 不是
peiy	陪
daiq	带
hiaoq	笑
ganx	敢
px	谱
nay	拿
rjq	二
zjux	煮
giw	鸡
sjuw	书
meix	每
kax	咯
diaoq	掉
giangx	讲
mengq	梦
lengx	冷
huaw	花
rjvy	于
sjoux	手
zax	咋
rjiew	哟
baoq	爆
zjanq	站
bianq	变
kanw	看
gew	哥
banx	版
sjueix	水
kix	起
tuy	图
law	啦
gouq	够
miew	咩
leiq	累
rouq	肉
maoy	毛
sjeny	神
kiengx	请
zjuengx	肿
tiengw	听
neiq	内
rjew	噢
cjangq	唱
maq	骂
zjuangw	装
many	蛮
tueix	腿
zjengq	正
sjouq	瘦
lux	卤
rjanx	俺
laox	老
liax	俩
mangy	忙
cjaow	超
tengy	疼
pangq	胖
rjuew	喔
cjew	车
moux	某
giaow	教
sjengw	生
zjuengq	种
gienq	进
giax	假
cjaq	差
rjuangq	忘
req	热
hvanx	选
sjay	啥
rjueiw	微
kiouy	求
rueq	若
hiew	些
gioux	久
kux	苦
mix	米
rjvew	约
feiw	飞
kienw	亲
zjaoq	照
rjiengy	赢
rjeq	饿
duy	读
miaox	秒
hienq	信
liengq	另
kaoq	靠
liaoy	聊
rjvanx	远
duengx	懂
giey	羯
daiw	呆
sjaiq	晒
zjueiw	追
gianq	见
tiaoq	跳
guaq	挂
nax	哪
niaox	鸟
tiengx	挺
gueiq	贵
rjvany	元
mey	摩
fengw	疯
zjangw	张
mengy	萌
touy	头
huey	活
hiengy	行
daw	哒
cq	次
benx	本
pianq	骗
dianq	店
kaox	考
kiangy	强
sx	死
sjouw	收
pw	噗
henq	恨
luw	撸
miaow	喵
liangq	亮
peq	破
hengw	哼
paiw	拍
tangx	躺
kiangx	抢
tux	吐
rq	日
tany	谈
fanq	饭
sjuaiq	帅
liy	离
naoq	闹
banq	办
huany	还
rjiangx	养
huengy	红
zjuw	猪
sjuaw	刷
giex	姐
hix	洗
hew	喝
caiq	菜
zanq	赞
diouw	丢
niew	捏
fenx	粉
paq	怕
kengw	坑
rjuangx	网
zuengx	总
cengy	曾
diew	爹
zany	咱
sjx	使
sjaw	杀
baiy	白
giy	急
cueiw	催
gaix	改
teq	特
baow	包
rjvanq	愿
meiq	妹
zjuaw	抓
zjex	者
penw	喷
hiaw	瞎
cx	此
luanq	乱
guenx	滚
rjiouw	呦
rjuanx	晚
liouy	留
rjvenw	晕
cjouw	抽
guaiq	怪
duq	度
cjuew	戳
louy	楼
dangx	党
rjiaox	咬
cjueiw	吹
lianq	练
sjanw	删
rjiey	耶
hiq	系
gvenw	君
cjoux	丑
liq	力
mianq	面
cjuengy	重
huex	火
pay	爬
giaox	脚
guanx	管
rjoux	偶
hangy	行
tuengq	痛
huangy	黄
zueix	嘴
kiengy	情
meny	门
daox	倒
bianw	边
souw	搜
duanx	短
huenq	混
fanw	翻
cy	词
zjaow	招
niaoq	尿
mew	么
rjiengw	应
sax	撒
hueix	毁
diengx	顶
max	马
hanx	喊
rjiouy	由
zux	组
tiex	帖
zey	则
zjuax	爪
peiq	配
naix	乃
gienw	斤
hiouq	秀
sjangw	伤
louw	喽
lany	蓝
hieq	谢
rjienw	因
paoq	泡
kuanx	款
diengq	定
sjenw	深
zjaw	渣
cuw	粗
kaw	咔
baq	爸
cjuangy	床
rjuaiq	外
zjaiy	宅
cjueny	纯
hvengy	熊
hanq	汗
guengw	宫
sjuangw	双
rjianx	演
mq	木
banw	班
zjuanq	赚
rjiq	亿
pienw	拼
haiw	嗨
bangq	棒
rjuangy	王
cjay	茶
cjuq	处
zay	砸
guangw	光
kiq	气
kiangw	枪
rengw	扔
giaq	嫁
kiex	且
kieq	切
hiengx	醒
rex	惹
tiengy	停
sjuq	树
sjuangx	爽
taiy	台
koux	口
hiey	鞋
hvex	雪
renq	任
sjuaiw	摔
giew	接
caow	操
kvx	娶
ruq	入
tiy	提
lanq	烂
gianw	间
guaiw	乖
day	达
rjveny	云
cjuengw	冲
tuany	团
piengy	瓶
tiw	踢
rjiengq	硬
leiw	嘞
duengq	动
gianx	剪
hianq	线
nianq	念
biaox	表
tiaow	挑
zjq	致
caoy	槽
manx	满
sjuaix	甩
sjengx	省
piy	皮
zx	子
kvengy	穷
renx	忍
niouw	妞
fanx	反
rjuw	呜
gieq	借
cjaw	插
fany	烦
guanw	关
caox	草
sjw	诗
zjy	直
caix	踩
keq	课
cjouq	臭
piaoq	票
sjengq	剩
rjueq	握
zjuangq	撞
tangw	汤
daow	刀
gix	几
tiq	替
rjieq	夜
cjex	扯
lanx	懒
rjiaow	腰
fangy	房
hiangw	香
rjanw	安
benw	奔
cjuanw	穿
rjiy	咦
manq	慢
nveq	虐
guangq	逛
giq	既
douq	痘
tianx	舔
liangy	凉
zjuenx	准
piq	屁
hvengw	胸
baix	摆
guey	国
sjey	蛇
paiq	派
cjengw	称
tuew	拖
pany	盘
kuengq	控
liex	咧
tueiw	忒
sq	四
touw	偷
zjangx	涨
duex	躲
mex	抹
fq	副
miw	咪
dux	堵
cangy	藏
hux	虎
leq	乐
zuex	左
cjaox	吵
kianq	欠
cjuany	传
benq	笨
hiouw	修
sjaow	烧
taoq	套
lueq	落
lvq	绿
zjey	折
tiany	甜
tangy	糖
rjaoq	奥
gueix	鬼
fenq	份
miengq	命
bx	补
canx	惨
sjouy	熟
kiaoy	瞧
kveny	群
haix	海
rjiangq	样
hiany	嫌
duanq	断
rjuaiw	歪
luey	罗
gaiq	盖
rjiangy	羊
giay	夹
gvey	觉
rengy	仍
meq	莫
paiy	排
rjux	五
sjax	傻
pianw	篇
hiengq	性
zuw	租
zjouw	周
kvw	区
pengq	碰
cengq	蹭
haw	哈
cjaiw	拆
kuw	哭
gvanx	卷
cjangx	场
rjuenx	吻
huengx	哄
kianw	签
seq	色
hvw	需
biw	逼
rjuay	娃
kvanq	劝
kvanw	圈
kiw	期
nuanx	暖
kvew	缺
rjaix	矮
kuengw	空
ruanx	软
biew	憋
feiy	肥
tueiq	退
sjuax	耍
rjianw	烟
langy	狼
piw	劈
rjienq	印
cjeny	陈
zjengx	整
guew	郭
duenw	蹲
tuq	兔
niangy	娘
lvy	驴
laq	辣
gay	噶
kiengw	清
gueiw	归
hueiw	灰
rjvq	欲
naw	那
zjuew	捉
kouq	扣
dengw	灯
suanw	酸
luenq	论
kenx	啃
rjaoy	熬
zouq	揍
rjieny	银
hiw	西
cjaoy	朝
kuangy	狂
sueiy	随
diengw	盯
cjenq	趁
bay	拔
mengx	猛
baox	宝
fangw	方
guaw	刮
feiq	费
kouw	抠
liengy	零
hiengw	星
kuaw	夸
rjuangw	汪
guw	菇
zjengw	蒸
cjouy	愁
zuy	足
rouy	揉
fey	佛
liouq	六
luengy	龙
kioux	糗
cjany	馋
fy	服
rjiay	牙
biengw	冰
dix	底
gienx	仅
hiy	习
zjanw	粘
houx	吼
rjuanw	弯
duenq	炖
nenq	嫩
rjueny	文
giengw	经
tuey	坨
sjeq	射
danw	单
baoy	薄
gey	隔
sanx	伞
cuew	搓
rjuq	雾
biq	必
peiw	呸
pengx	捧
kuenq	困
baiw	掰
zenx	怎
maoq	冒
giangq	酱
paw	趴
sjanx	闪
rjangy	昂
zeiy	贼
leiy	雷
zuanw	钻
kuq	酷
bew	波
lieny	林
kanx	砍
key	咳
cjengq	秤
haiq	害
sjenq	甚
zaow	遭
nuq	怒
zjaq	炸
piaow	飘
huy	胡
cuenw	村
fay	伐
taoy	淘
maiy	埋
saiw	塞
lveq	略
kuanw	宽
touq	透
couq	凑
hvanw	嬛
gvx	举
mieq	灭
cany	残
sjux	属
naox	脑
saox	扫
hany	韩
laow	捞
huangw	慌
diey	叠
biengx	饼
mx	母
cueny	存
sueiw	虽
diaow	叼
cjuenw	春
miy	迷
luew	啰
cuenq	寸
tix	体
paow	抛
tangq	烫
zjuaiq	拽
hiay	侠
guengq	共
beix	北
faq	发
suengx	怂
kew	颗
niy	泥
fw	敷
cjuaiq	踹
nuengy	浓
liaoq	料
bengq	蹦
gaw	嘎
kueiw	亏
rjiaoy	摇
suq	素
menq	闷
kvanx	犬
tuengw	通
niq	腻
louq	露
huangq	晃
panw	潘
zjuanw	砖
kuengx	孔
rux	乳
tuengx	捅
rjouw	欧
rjueix	伪
panq	盼
huay	滑
rjvenq	运
raoq	绕
sanq	散
baiq	拜
zangw	脏
liengx	领
cjux	处
rjiany	言
gengx	梗
zanx	攒
kiaoq	翘
naoy	挠
liouw	溜
kiaw	掐
bey	博
foux	否
zaoq	造
kiaox	巧
hveny	寻
cjuenx	蠢
saow	骚
ceq	测
gvy	局
dueq	剁
nueq	诺
duengw	东
duanw	端
cjuengx	宠
ruengy	容
sw	斯
zjaiw	摘
giengq	竟
kiaow	敲
diax	嗲
ganw	干
cuq	醋
zjenq	朕
lueny	轮
hvanq	炫
tax	塔
hueny	魂
rjx	耳
cjeq	撤
tanw	贪
kangy	扛
guex	果
huaiy	怀
guengx	拱
sjuenq	顺
kiouw	秋
suenw	孙
gvanw	捐
huq	沪
houy	猴
naiq	耐
saw	仨
nioux	扭
doux	抖
cjuy	除
pangy	旁
fengy	逢
kianx	浅
bangx	绑
suew	缩
cjuanq	串
tueny	臀
gux	股
dangq	档
biy	鼻
pew	颇
lvx	旅
kuaq	跨
liw	哩
saiq	赛
may	麻
niengx	拧
lengq	愣
hianx	显
zuenw	尊
guangx	广
pienx	品
rjaow	凹
suw	苏
mianx	免
gvw	居
canw	餐
ranx	染
huengw	轰
miq	幂
huenw	婚
zjenx	枕
cjuangx	闯
feny	坟
guq	故
zuengq	粽
tanq	叹
dueiw	堆
suenx	损
huw	呼
kieny	琴
zjanx	展
sjanq	善
kangq	抗
suengw	松
hvy	徐
luengq	弄
lienw	拎
senw	森
cjy	迟
sengw	僧
cjanx	产
hengy	横
miaoy	瞄
miaoq	妙
giouw	啾
biaow	膘
hvany	悬
rjiax	雅
guanq	惯
giaoy	嚼
hvx	许
laiq	赖
cuengw	葱
zaix	宰
sjangx	赏
hiaow	消
sjaoy	勺
rjienx	饮
gaoq	告
hvew	薛
gangx	港
gouw	勾
cjuangw	窗
leix	蕾
cjuanx	喘
zjouq	皱
lax	喇
zaw	扎
luex	裸
sangw	桑
mieny	民
nieq	涅
lieq	列
rjuenw	温
zjangq	帐
rany	然
bianx	扁
hiangy	翔
taow	掏
gangq	杠
rjuax	瓦
dengq	瞪
guaix	拐
heq	贺
giengx	景
bengw	崩
tuenw	吞
zjaix	窄
rjiengx	影
raoy	饶
peny	盆
langq	浪
maox	卯
sjenx	沈
rjenq	摁
rjaiy	挨
niw	妮
cjuangq	创
cjanq	颤
tuw	凸
kuangq	框
suy	俗
kiaq	恰
lioux	柳
hvenw	熏
pengy	彭
lengy	楞
zengq	赠
sjuanq	涮
cw	呲
cjaiy	柴
hvq	恤
kuax	垮
cueiq	脆
taiw	胎
rjeiy	欸
cjueiy	锤
rjiaq	亚
dew	嘚
niengy	宁
zengw	增
fangx	仿
zangq	葬
pix	癖
diy	敌
fx	腐
hvenq	讯
zaiw	哉
duey	度
mengw	蒙
miany	眠
laoy	牢
saq	萨
hanw	憨
piaoy	嫖
cuanq	窜
gvew	撅
taox	讨
kiengq	庆
kiax	卡
ruenq	润
rjvengx	永
guenq	棍
gvenq	俊
pengw	嘭
bengy	甭
kuenw	坤
huanx	缓
haoy	蚝
rjianq	咽
cjq	翅
nuey	挪
mienx	皿
rjuaq	袜
tuex	妥
rangx	嚷
rjvanw	冤
cangw	仓
langx	朗
laoq	唠
zjouy	轴
sjaq	煞
danx	胆
cjenw	嗔
luy	卢
kueq	阔
piaox	瞟
huanw	欢
rjuaix	崴
kiangq	呛
fengq	缝
kiew	切
sjex	舍
zuey	昨
tieq	帖
hay	蛤
huangx	谎
duw	嘟
tiaox	挑
rueiq	瑞
dianw	颠
rjuengw	嗡
sjueq	硕
luanx	卵
zjaiq	债
sjuanw	拴
luenw	抡
piex	撇
zjax	眨
cjuaix	揣
zw	兹
sjengy	绳
taq	踏
kangw	康
sangx	嗓
cjanw	掺
pieny	贫
biex	瘪
paoy	刨
nux	努
rjaox	袄
zuew	作
cuey	矬
zjueiq	坠
zjuy	竹
nuy	奴
zuengw	棕
zjay	扎
gvanq	卷
tueiy	颓
sjaoq	哨
kvey	瘸
rjvengw	拥
huew	豁
langw	啷
cengw	噌
heny	痕
houw	齁
kuangw	筐
zjuey	濯
nangy	囊
nianw	蔫
bienw	斌
niangq	酿
mouy	谋
kuenx	捆
sjaiw	筛
raox	扰
cjx	尺
kienx	寝
kueiy	葵
kaix	凯
nianx	碾
feix	匪
cjax	叉
py	葡
gengw	羹
naow	孬
geny	哏
zuanq	攥
zjoux	肘
kaow	尻
pey	婆
daoy	捯
rjvenx	允
tanx	毯
pq	瀑
pouw	剖
zouw	邹
nanw	囡
rjvw	瘀
mangx	蟒
sjuy	孰
menw	闷
gvengx	炅
sangq	丧
cuany	攒
sjuenx	吮
rjuengq	瓮
canq	灿
pienq	聘
cuanw	蹿
guax	剐
rjiangw	央
cjangw	菖
rueix	蕊
neq	讷
cjuaiw	搋
niengq	甯
loux	搂
piew	瞥
mouw	哞
my	呒
nanx	腩
luengx	拢
neix	馁
kienq	沁
duenx	趸
zaoy	凿
gex	盖
rangy	瓤
zeq	仄
zanw	簪
bienq	鬓
nouq	耨
hangw	夯
niouq	拗
sjew	奢
genq	艮
kvy	渠
haow	蒿
nangq	齉
hengq	横
keiw	剋
tueq	拓
rjeix	欸
pangx	耪
kiey	茄
gax	尕
cjengx	逞
luany	栾
cjueq	龊
ceny	岑
soux	叟
nangx	攮
bex	跛
souq	嗽
saoq	扫
daix	逮
rangw	嚷
liaow	撩
gaq	尬
pianx	谝
pangw	乓
miouq	谬
cjenx	碜
cjuengq	铳
kueiq	溃
lienq	淋
rjouq	沤
rjvex	哕
gveq	倔
lienx	凛
biaoq	俵
bw	晡
sueix	髓
fengx	讽
liaox	蓼
cuex	脞
denq	扽
zuanx	纂
bengx	绷
hangq	巷
hioux	朽
ruengx	冗
tuenq	褪
tuanw	湍
cuy	殂
zjuenw	肫
piengw	乒
pouy	抔
zenq	谮
nangw	囔
cuenx	忖
kuangx	夼
tuanx	疃
hveq	谑
mangw	牤
hiaoy	崤
tuanq	彖
gvengw	扃
rjangw	肮
rjangq	盎
lengw	棱
cueix	璀
pex	叵
kiay	拤
hienx	伈
kvenw	囷
tiengq	梃
nvq	衄
kuaix	蒯
beq	擘
rueiy	蕤
rjvengy	颙
lay	旯
manw	嫚
hvengq	夐
kaiq	忾
tianq	瑱
kenq	裉
kueix	跬
miengx	酩
by	醭
cjaiq	虿
piany	骈
rjuengx	蓊
paix	迫
huengq	哄
cenw	参
sjaix	色
nanq	难
bieq	别
zjaoy	着
sjueiy	谁
zuenx	僔
sjuaq	刷
liew	咧
lew	咯
hax	哈
haq	哈
ney	哪
rjay	啊
rjax	啊
rjaq	啊
penq	喷
rjengy	嗯
rjengx	嗯
deiw	嘚
ruany	堧
zjuangx	奘
deix	得
rjex	恶
poux	掊
rjeiw	欸
rjeiq	欸
tengw	熥
cjaoq	耖
genx	艮
cjaix	茝
gvex	蹶
zangx	驵
luenx	𫭢
coux	㔌
cjuaw	㔍
suanx	㔯
rjenx	㕶
tuenx	㖔
niaw	㖸
saix	㗷
taix	㘆
laix	㚓
hieny	㚯
nuex	㛂
noux	㜌
naiy	㜨
nouy	㝹
suengy	㞞
niey	㡪
diaox	㣿
mangq	㤶
sjuangq	㦼
zjueq	㧳
dueix	㨃
hex	㪋
cjuaiy	㪓
toux	㪗
zueiw	㭰
nengq	㲌
cjueix	㷃
giouy	㺵
zenw	㻸
zengx	㽪
piengq	䀻
zy	䁒
nuengx	䁸
gvengq	䅃
cangq	䅮
rjangx	䇦
bienx	䐔
sueq	䐝
caoq	䒃
cjuaq	䔴
cjueiq	䕓
rjany	䜙
guy	䜼
caq	䟃
diany	䟍
kiouq	䟬
kangx	䡉
kengx	䡰
tiey	䩞
fouw	不
zew	伬
zuq	伹
taw	它
peix	俖
rjw	儿
huaiw	划
mienw	厸
penx	呠
liey	咧
rjeny	咹
diex	哆
dieq	哋
rjengw	唵
lenq	啉
zaq	喒
mw	嘸
henw	噷
rjvey	块
panx	坢
fouy	垺
sanw	壭
nuany	奻
nuenq	媆
pieq	嫳
ruw	嶿
teiw	忒
huenx	惛
cuengq	憁
rengq	扔
liengw	拎
nienx	拰
zuenq	拵
zjuaiw	拽
ruay	挼
ruey	挼
rey	捼
lvex	掠
miengw	掵
suenq	摌
rueny	撋
zjuenq	旽
hvengx	昫
sjuey	杓
couw	楱
roux	楺
cjuw	榋
êw	欸
êy	欸
êx	欸
êq	欸
sjueiw	氵
zjueix	沝
senx	洒
liangw	煷
hangx	狠
cux	皻
cax	礤
ruengw	穃
kvengw	穹
ruanq	緛
ruengq	縙
nienw	脌
tew	脦
hiouy	苬
cangx	蒼
nengx	螚
fiaoq	覅
zjany	讝
zjuaix	跩
pouq	踣
zueny	蹲
kvenx	蹲
tay	蹹
zjeiq	这
niex	鉨
hiax	閕
sew	閪
luengw	隆
tengq	霯
piengx	頩
nuanq	餪
nueny	黁
rjouy	齵
zjuany	
neiy	𠑚
zjeny	𠵧
ruenx	𠷀
cjuax	𠹐
ranq	𡜉
sengq	𡬙
gvenx	𢉦
kvengq	𢮍
sux	𣷶
ceiq	𤭢
miey	𥄲
mouq	𥆆
pax	𥩙
zueiy	𦆈
nvy	𦓕
sy	𦔌
kuy	𦛏
cjey	𧙝
cuengx	𧝮
couy	𧡣
sjany	𧨾
dienq	𨈖
mioux	𨱯
kenw	𩎤
suey	𩡾
guay	𪇜
niangx	𪓃
biangy	𰻝
